case_id,support,cost_model,mesh_edge_cost,closure_edge_cost,relaxation_budget,admissible_members,minimum_signal,diameter,ratio,diameter_relative_gap,signal_relative_gap
alph05-10071-2024,fine_F100,closure_dominant,0.1,0.4,0.2,16,0.005803502967438074,0.002541864613862918,2.2831676147449826,0.9363634431218898,3.677113470193844e-09
alph05-10071-2024,fine_F100,closure_dominant,0.1,0.4,0.5,64,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,closure_dominant,0.1,0.4,0.6,112,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,closure_dominant,0.1,0.4,0.8,124,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,closure_dominant,0.1,0.4,0.9,172,0.0058035029460979356,0.039943465479975244,0.1452929252973153,3.6887861366948206e-10,0.0
alph05-10071-2024,fine_F100,closure_dominant,0.1,0.4,1.0,256,0.0058035029460979356,0.039943465494709535,0.14529292524371984,0.0,0.0
alph05-10071-2024,shared_F000,balanced,0.25,0.25,0.0,4,0.005774212264659168,0.0015368250049551681,3.7572347183585886,0.9294703838560061,3.277010004384731e-08
alph05-10071-2024,shared_F000,balanced,0.25,0.25,0.5,76,0.00577421207543766,0.02178978260538218,0.26499631409867314,1.2600559944542719e-09,0.0
alph05-10071-2024,shared_F000,balanced,0.25,0.25,0.75,172,0.00577421207543766,0.02178978260538218,0.26499631409867314,1.2600559944542719e-09,0.0
alph05-10071-2024,shared_F000,balanced,0.25,0.25,1.0,256,0.00577421207543766,0.021789782632838525,0.26499631376476296,0.0,0.0
alph05-10071-2024,shared_F000,mesh_dominant,0.4,0.1,0.0,4,0.005774212264659168,0.0015368250049551681,3.7572347183585886,0.9294703838560061,3.277010004384731e-08
alph05-10071-2024,shared_F000,mesh_dominant,0.4,0.1,0.2,16,0.005774212264659168,0.021789782382634515,0.2649963254915734,1.148262993275606e-08,3.277010004384731e-08
alph05-10071-2024,shared_F000,mesh_dominant,0.4,0.1,0.5,64,0.005774212156056661,0.02178978260538218,0.2649963177985265,1.2600559944542719e-09,1.3961904955629166e-08
alph05-10071-2024,shared_F000,mesh_dominant,0.4,0.1,0.6,112,0.005774212156056661,0.02178978260538218,0.2649963177985265,1.2600559944542719e-09,1.3961904955629166e-08
alph05-10071-2024,shared_F000,mesh_dominant,0.4,0.1,0.8,124,0.00577421207543766,0.02178978260538218,0.26499631409867314,1.2600559944542719e-09,0.0
alph05-10071-2024,shared_F000,mesh_dominant,0.4,0.1,0.9,172,0.00577421207543766,0.02178978260538218,0.26499631409867314,1.2600559944542719e-09,0.0
alph05-10071-2024,shared_F000,mesh_dominant,0.4,0.1,1.0,256,0.00577421207543766,0.021789782632838525,0.26499631376476296,0.0,0.0
alph05-10071-2024,shared_F000,closure_dominant,0.1,0.4,0.0,4,0.005774212264659168,0.0015368250049551681,3.7572347183585886,0.9294703838560061,3.277010004384731e-08
alph05-10071-2024,shared_F000,closure_dominant,0.1,0.4,0.2,16,0.00577421207543766,0.0015368251161898081,3.7572343232868577,0.929470378751107,0.0
alph05-10071-2024,shared_F000,closure_dominant,0.1,0.4,0.5,64,0.00577421207543766,0.02178978260538218,0.26499631409867314,1.2600559944542719e-09,0.0
alph05-10071-2024,shared_F000,closure_dominant,0.1,0.4,0.6,112,0.00577421207543766,0.02178978260538218,0.26499631409867314,1.2600559944542719e-09,0.0
alph05-10071-2024,shared_F000,closure_dominant,0.1,0.4,0.8,124,0.00577421207543766,0.02178978260538218,0.26499631409867314,1.2600559944542719e-09,0.0
alph05-10071-2024,shared_F000,closure_dominant,0.1,0.4,0.9,172,0.00577421207543766,0.02178978260538218,0.26499631409867314,1.2600559944542719e-09,0.0
alph05-10071-2024,shared_F000,closure_dominant,0.1,0.4,1.0,256,0.00577421207543766,0.021789782632838525,0.26499631376476296,0.0,0.0
alph15-10929-3036,fine_F100,balanced,0.25,0.25,0.0,4,0.0065926128791001055,0.001008886806863519,6.534541669343037,0.9076480631407924,2.687343500201302e-08
alph15-10929-3036,fine_F100,balanced,0.25,0.25,0.5,76,0.006592612701933957,0.010924370727786391,0.6034775701236038,1.1085895683965614e-08,0.0
alph15-10929-3036,fine_F100,balanced,0.25,0.25,0.75,172,0.006592612701933957,0.010924370727786391,0.6034775701236038,1.1085895683965614e-08,0.0
alph15-10929-3036,fine_F100,balanced,0.25,0.25,1.0,256,0.006592612701933957,0.010924370848892827,0.6034775634335144,0.0,0.0
alph15-10929-3036,fine_F100,mesh_dominant,0.4,0.1,0.0,4,0.0065926128791001055,0.001008886806863519,6.534541669343037,0.9076480631407924,2.687343500201302e-08
alph15-10929-3036,fine_F100,mesh_dominant,0.4,0.1,0.2,16,0.0065926128791001055,0.010924370552263874,0.6034775960372296,2.7152955205088068e-08,2.687343500201302e-08
alph15-10929-3036,fine_F100,mesh_dominant,0.4,0.1,0.5,64,0.006592612781573308,0.010924370727786391,0.6034775774136669,1.1085895683965614e-08,1.2080089508925583e-08
alph15-10929-3036,fine_F100,mesh_dominant,0.4,0.1,0.6,112,0.006592612781573308,0.010924370727786391,0.6034775774136669,1.1085895683965614e-08,1.2080089508925583e-08
alph15-10929-3036,fine_F100,mesh_dominant,0.4,0.1,0.8,124,0.006592612701933957,0.010924370727786391,0.6034775701236038,1.1085895683965614e-08,0.0
alph15-10929-3036,fine_F100,mesh_dominant,0.4,0.1,0.9,172,0.006592612701933957,0.010924370727786391,0.6034775701236038,1.1085895683965614e-08,0.0
alph15-10929-3036,fine_F100,mesh_dominant,0.4,0.1,1.0,256,0.006592612701933957,0.010924370848892827,0.6034775634335144,0.0,0.0
alph15-10929-3036,fine_F100,closure_dominant,0.1,0.4,0.0,4,0.0065926128791001055,0.001008886806863519,6.534541669343037,0.9076480631407924,2.687343500201302e-08
alph15-10929-3036,fine_F100,closure_dominant,0.1,0.4,0.2,16,0.006592612701933957,0.0010088868536657252,6.534541190600437,0.9076480588565908,0.0
alph15-10929-3036,fine_F100,closure_dominant,0.1,0.4,0.5,64,0.006592612701933957,0.010924370727786391,0.6034775701236038,1.1085895683965614e-08,0.0
alph15-10929-3036,fine_F100,closure_dominant,0.1,0.4,0.6,112,0.006592612701933957,0.010924370727786391,0.6034775701236038,1.1085895683965614e-08,0.0
alph15-10929-3036,fine_F100,closure_dominant,0.1,0.4,0.8,124,0.006592612701933957,0.010924370727786391,0.6034775701236038,1.1085895683965614e-08,0.0
alph15-10929-3036,fine_F100,closure_dominant,0.1,0.4,0.9,172,0.006592612701933957,0.010924370727786391,0.6034775701236038,1.1085895683965614e-08,0.0
alph15-10929-3036,fine_F100,closure_dominant,0.1,0.4,1.0,256,0.006592612701933957,0.010924370848892827,0.6034775634335144,0.0,0.0
alph15-10929-3036,shared_F000,balanced,0.25,0.25,0.0,4,0.006573077584136554,0.0002804795263991578,23.435142195663275,0.9298378643887185,0.0
alph15-10929-3036,shared_F000,balanced,0.25,0.25,0.5,76,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,balanced,0.25,0.25,0.75,172,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,balanced,0.25,0.25,1.0,256,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,mesh_dominant,0.4,0.1,0.0,4,0.006573077584136554,0.0002804795263991578,23.435142195663275,0.9298378643887185,0.0
alph15-10929-3036,shared_F000,mesh_dominant,0.4,0.1,0.2,16,0.006573077584136554,0.003997591063522008,1.6442596252817963,2.9192745747164827e-10,0.0
alph15-10929-3036,shared_F000,mesh_dominant,0.4,0.1,0.5,64,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,mesh_dominant,0.4,0.1,0.6,112,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,mesh_dominant,0.4,0.1,0.8,124,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,mesh_dominant,0.4,0.1,0.9,172,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,mesh_dominant,0.4,0.1,1.0,256,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,closure_dominant,0.1,0.4,0.0,4,0.006573077584136554,0.0002804795263991578,23.435142195663275,0.9298378643887185,0.0
alph15-10929-3036,shared_F000,closure_dominant,0.1,0.4,0.2,16,0.006573077584136554,0.0002804797555722118,23.43512304738964,0.9298378070609303,0.0
alph15-10929-3036,shared_F000,closure_dominant,0.1,0.4,0.5,64,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,closure_dominant,0.1,0.4,0.6,112,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,closure_dominant,0.1,0.4,0.8,124,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,closure_dominant,0.1,0.4,0.9,172,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-10929-3036,shared_F000,closure_dominant,0.1,0.4,1.0,256,0.006573077584136554,0.0039975910646890146,1.6442596248017918,0.0,0.0
alph15-13929-2024,fine_F100,balanced,0.25,0.25,0.0,4,0.0062830083842117055,0.0016868797410758082,3.7246332570244247,0.9277157803262703,2.415044153363169e-08
alph15-13929-2024,fine_F100,balanced,0.25,0.25,0.5,76,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,fine_F100,balanced,0.25,0.25,0.75,172,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,fine_F100,balanced,0.25,0.25,1.0,256,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,fine_F100,mesh_dominant,0.4,0.1,0.0,4,0.0062830083842117055,0.0016868797410758082,3.7246332570244247,0.9277157803262703,2.415044153363169e-08
alph15-13929-2024,fine_F100,mesh_dominant,0.4,0.1,0.2,16,0.0062830083842117055,0.023336763524458043,0.26923220855483293,0.0,2.415044153363169e-08
alph15-13929-2024,fine_F100,mesh_dominant,0.4,0.1,0.5,64,0.006283008261761296,0.023336763524458043,0.2692322033077296,0.0,4.6613043788447365e-09
alph15-13929-2024,fine_F100,mesh_dominant,0.4,0.1,0.6,112,0.006283008261761296,0.023336763524458043,0.2692322033077296,0.0,4.6613043788447365e-09
alph15-13929-2024,fine_F100,mesh_dominant,0.4,0.1,0.8,124,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,fine_F100,mesh_dominant,0.4,0.1,0.9,172,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,fine_F100,mesh_dominant,0.4,0.1,1.0,256,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,fine_F100,closure_dominant,0.1,0.4,0.0,4,0.0062830083842117055,0.0016868797410758082,3.7246332570244247,0.9277157803262703,2.415044153363169e-08
alph15-13929-2024,fine_F100,closure_dominant,0.1,0.4,0.2,16,0.0062830082324742825,0.0016868797410758082,3.724633167072889,0.9277157803262703,0.0
alph15-13929-2024,fine_F100,closure_dominant,0.1,0.4,0.5,64,0.0062830082324742825,0.023336763483232364,0.2692322025283699,1.7665551213754931e-09,0.0
alph15-13929-2024,fine_F100,closure_dominant,0.1,0.4,0.6,112,0.0062830082324742825,0.023336763483232364,0.2692322025283699,1.7665551213754931e-09,0.0
alph15-13929-2024,fine_F100,closure_dominant,0.1,0.4,0.8,124,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,fine_F100,closure_dominant,0.1,0.4,0.9,172,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,fine_F100,closure_dominant,0.1,0.4,1.0,256,0.0062830082324742825,0.023336763524458043,0.2692322020527564,0.0,0.0
alph15-13929-2024,shared_F000,balanced,0.25,0.25,0.0,4,0.0062340988347173,0.0008596383912491695,7.252001420804765,0.9270994340795827,0.0
alph15-13929-2024,shared_F000,balanced,0.25,0.25,0.5,76,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,balanced,0.25,0.25,0.75,172,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,balanced,0.25,0.25,1.0,256,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,mesh_dominant,0.4,0.1,0.0,4,0.0062340988347173,0.0008596383912491695,7.252001420804765,0.9270994340795827,0.0
alph15-13929-2024,shared_F000,mesh_dominant,0.4,0.1,0.2,16,0.0062340988347173,0.011791929955827243,0.5286750225001619,2.81228038884811e-08,0.0
alph15-13929-2024,shared_F000,mesh_dominant,0.4,0.1,0.5,64,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,mesh_dominant,0.4,0.1,0.6,112,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,mesh_dominant,0.4,0.1,0.8,124,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,mesh_dominant,0.4,0.1,0.9,172,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,mesh_dominant,0.4,0.1,1.0,256,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,closure_dominant,0.1,0.4,0.0,4,0.0062340988347173,0.0008596383912491695,7.252001420804765,0.9270994340795827,0.0
alph15-13929-2024,shared_F000,closure_dominant,0.1,0.4,0.2,16,0.0062340988347173,0.0008596383912491695,7.252001420804765,0.9270994340795827,0.0
alph15-13929-2024,shared_F000,closure_dominant,0.1,0.4,0.5,64,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,closure_dominant,0.1,0.4,0.6,112,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,closure_dominant,0.1,0.4,0.8,124,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,closure_dominant,0.1,0.4,0.9,172,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-13929-2024,shared_F000,closure_dominant,0.1,0.4,1.0,256,0.0062340988347173,0.011791930287449386,0.5286750076323379,0.0,0.0
alph15-7929-2024,fine_F100,balanced,0.25,0.25,0.0,4,0.008926264601940908,0.0017910862329488298,4.983715712696188,0.9184752075626571,4.6873379117436166e-09
alph15-7929-2024,fine_F100,balanced,0.25,0.25,0.5,76,0.00892626456010049,0.021969834910426565,0.40629638759207126,1.113076428647911e-09,0.0
alph15-7929-2024,fine_F100,balanced,0.25,0.25,0.75,172,0.00892626456010049,0.021969834910426565,0.40629638759207126,1.113076428647911e-09,0.0
alph15-7929-2024,fine_F100,balanced,0.25,0.25,1.0,256,0.00892626456010049,0.02196983493488067,0.40629638713983235,0.0,0.0
alph15-7929-2024,fine_F100,mesh_dominant,0.4,0.1,0.0,4,0.008926264601940908,0.0017910862329488298,4.983715712696188,0.9184752075626571,4.6873379117436166e-09
alph15-7929-2024,fine_F100,mesh_dominant,0.4,0.1,0.2,16,0.008926264601940908,0.021969834689113295,0.406296393589349,1.1186582690741738e-08,4.6873379117436166e-09
alph15-7929-2024,fine_F100,mesh_dominant,0.4,0.1,0.5,64,0.008926264572823603,0.021969834910426565,0.4062963881711886,1.113076428647911e-09,1.4253568677527703e-09
alph15-7929-2024,fine_F100,mesh_dominant,0.4,0.1,0.6,112,0.008926264572823603,0.021969834910426565,0.4062963881711886,1.113076428647911e-09,1.4253568677527703e-09
alph15-7929-2024,fine_F100,mesh_dominant,0.4,0.1,0.8,124,0.00892626456010049,0.021969834910426565,0.40629638759207126,1.113076428647911e-09,0.0
alph15-7929-2024,fine_F100,mesh_dominant,0.4,0.1,0.9,172,0.00892626456010049,0.021969834910426565,0.40629638759207126,1.113076428647911e-09,0.0
alph15-7929-2024,fine_F100,mesh_dominant,0.4,0.1,1.0,256,0.00892626456010049,0.02196983493488067,0.40629638713983235,0.0,0.0
alph15-7929-2024,fine_F100,closure_dominant,0.1,0.4,0.0,4,0.008926264601940908,0.0017910862329488298,4.983715712696188,0.9184752075626571,4.6873379117436166e-09
alph15-7929-2024,fine_F100,closure_dominant,0.1,0.4,0.2,16,0.00892626456010049,0.0017910862329488298,4.9837156893358285,0.9184752075626571,0.0
alph15-7929-2024,fine_F100,closure_dominant,0.1,0.4,0.5,64,0.00892626456010049,0.021969834910426565,0.40629638759207126,1.113076428647911e-09,0.0
alph15-7929-2024,fine_F100,closure_dominant,0.1,0.4,0.6,112,0.00892626456010049,0.021969834910426565,0.40629638759207126,1.113076428647911e-09,0.0
alph15-7929-2024,fine_F100,closure_dominant,0.1,0.4,0.8,124,0.00892626456010049,0.021969834910426565,0.40629638759207126,1.113076428647911e-09,0.0
alph15-7929-2024,fine_F100,closure_dominant,0.1,0.4,0.9,172,0.00892626456010049,0.021969834910426565,0.40629638759207126,1.113076428647911e-09,0.0
alph15-7929-2024,fine_F100,closure_dominant,0.1,0.4,1.0,256,0.00892626456010049,0.02196983493488067,0.40629638713983235,0.0,0.0
alph15-7929-2024,shared_F000,balanced,0.25,0.25,0.0,4,0.008895896628679095,0.0009796901807383393,9.080316209737594,0.9237774643117953,5.0797142796290585e-08
alph15-7929-2024,shared_F000,balanced,0.25,0.25,0.5,76,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,balanced,0.25,0.25,0.75,172,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,balanced,0.25,0.25,1.0,256,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,mesh_dominant,0.4,0.1,0.0,4,0.008895896628679095,0.0009796901807383393,9.080316209737594,0.9237774643117953,5.0797142796290585e-08
alph15-7929-2024,shared_F000,mesh_dominant,0.4,0.1,0.2,16,0.008895896628679095,0.012853025065937019,0.6921247397435587,1.9341385538314016e-08,5.0797142796290585e-08
alph15-7929-2024,shared_F000,mesh_dominant,0.4,0.1,0.5,64,0.008895896311943428,0.012853025314532337,0.692124701714019,0.0,1.5192448124359602e-08
alph15-7929-2024,shared_F000,mesh_dominant,0.4,0.1,0.6,112,0.008895896311943428,0.012853025314532337,0.692124701714019,0.0,1.5192448124359602e-08
alph15-7929-2024,shared_F000,mesh_dominant,0.4,0.1,0.8,124,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,mesh_dominant,0.4,0.1,0.9,172,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,mesh_dominant,0.4,0.1,1.0,256,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,closure_dominant,0.1,0.4,0.0,4,0.008895896628679095,0.0009796901807383393,9.080316209737594,0.9237774643117953,5.0797142796290585e-08
alph15-7929-2024,shared_F000,closure_dominant,0.1,0.4,0.2,16,0.008895896176792987,0.0009796901807383393,9.080315748483498,0.9237774643117953,0.0
alph15-7929-2024,shared_F000,closure_dominant,0.1,0.4,0.5,64,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,closure_dominant,0.1,0.4,0.6,112,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,closure_dominant,0.1,0.4,0.8,124,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,closure_dominant,0.1,0.4,0.9,172,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
alph15-7929-2024,shared_F000,closure_dominant,0.1,0.4,1.0,256,0.008895896176792987,0.012853025314532337,0.6921246911989505,0.0,0.0
